index,Definition
682,Percentage of discontinuations of contraceptive methods in the five years preceding the survey due to marital dissolution
683,Percentage of discontinuations of contraceptive methods in the five years preceding the survey due to other reasons
684,Percentage of discontinuations of contraceptive methods in the five years preceding the survey due unknown reasons
685,Percentage of discontinuations of contraceptive methods in the five years preceding the survey due with missing information on reason for discontinuation
686,Percentage of discontinuations of contraceptive methods in the five years preceding the survey: Total
687,Number of discontinuations of contraceptive methods in the five years preceding the survey
688,Number of discontinuations of contraceptive methods in the five years preceding the survey (unweighted)
689,Percentage of women who believe the fertile period is before period begins
690,Percentage of women who believe the fertile period is during her period
691,Percentage of women who believe the fertile period is after period ended
692,Percentage of women who believe the fertile period is middle of the cycle
693,Percentage of women who believe the fertile period is 'other'
694,Percentage of women who believe the fertile period is at any time
695,Percentage of women who don't know the fertile period
696,Percentage of women with missing information on knowledge of the fertile period
697,Percentage of women: Total
698,Number of women
699,Number of women (unweighted)
700,Percentage of currently married or in union women with an unmet need for family planning for spacing
701,Percentage of currently married or in union women with an unmet need for family planning for limiting
702,Percentage of currently married or in union women with an unmet need for family planning
703,Percentage of currently married or in union women using family planning for spacing
704,Percentage of currently married or in union women using family planning for limiting
705,Percentage of currently married or in union women using family planning
706,Total demand for family planning for spacing is the sum of unmet need for family planning for spacing and those currently using family planning for spacing
707,Total demand for family planning for limiting is the sum of unmet need for family planning for limiting and those currently using family planning for limiting
708,Total demand for family planning is the sum of unmet need for family planning and those currently using family planning
709,Percentage of demand for family planning satisfied is calculated as the number of currently married women using family planning divided by the number of currently married women with demand for family planning (either with unmet need or currently using any family planning)
710,Percentage of demand for family planning satisfied by modern methods is calculated as the number of currently married women using modern methods of family planning divided by the number of currently married women with demand for family planning (either with unmet need or currently using any family planning)
711,Number of currently married or in union women
712,Number of currently married or in union women (unweighted)
713,Percentage of women with an unmet need for family planning for spacing
714,Percentage of women with an unmet need for family planning for limiting
715,Percentage of women with an unmet need for family planning
716,Percentage of women using family planning for spacing
717,Percentage of women using family planning for limiting
718,Percentage of women using family planning
719,Total demand for family planning for spacing is the sum of unmet need for spacing and those currently using for spacing
720,Total demand for family planning for limiting is the sum of unmet need for limiting and those currently using for limiting
721,Total demand for family planning is the sum of unmet need and those currently using
722,Percentage of demand for family planning satisfied is calculated as the number of all women using family planning divided by the number of all women with demand for family planning (either with unmet need or currently using any family planning)
723,Percentage of demand for family planning satisfied by modern methods is calculated as the number of all women using modern methods of family planning divided by the number of all women with demand for family planning (either with unmet need or currently using any family planning)
724,Number of women
725,Number of women (unweighted)
726,Percentage of sexually active unmarried women with an unmet need for family planning for spacing
727,Percentage of sexually active unmarried women with an unmet need for family planning for limiting
728,Percentage of sexually active unmarried women with an unmet need for family planning
729,Percentage of sexually active unmarried women using family planning for spacing
730,Percentage of sexually active unmarried women using family planning for limiting
731,Percentage of sexually active unmarried women using family planning
732,Total demand for family planning for spacing is the sum of unmet need for spacing and those currently using for spacing
733,Total demand for family planning for limiting is the sum of unmet need for limiting and those currently using for limiting
734,Total demand for family planning is the sum of unmet need and those currently using
735,Percentage of demand for family planning satisfied is calculated as the number of sexually active unmarried women using family planning divided by the number of sexually active unmarried women with demand for family planning (either with unmet need or currently using any family planning)
736,Percentage of demand for family planning satisfied by modern methods is calculated as the number of sexually active unmarried women using modern methods of family planning divided by the number of sexually active unmarried women with demand for family planning (either with unmet need or currently using any family planning)
737,Number of sexually active unmarried women
738,Number of sexually active unmarried women (unweighted)
739,Percentage of currently married or in union women who are not currently using a contraceptive method who intend to use a method in the future
740,Percentage of currently married or in union women who are not currently using a contraceptive method who intend to use a method in the next 12 months
741,Percentage of currently married or in union women who are not currently using a contraceptive method who intend to use a method later
742,Percentage of currently married or in union women who are not currently using a contraceptive method who are unsure when they will use a method in the future
743,Percentage of currently married or in union women who are not currently using a contraceptive method who are unsure whether they will use a method in the future
744,Percentage of currently married or in union women who are not currently using a contraceptive method who does not intend to use a method in the future
745,Percentage of currently married or in union women who are not currently using a contraceptive method who are 'don't know' or missing on future intentions
746,Percentage of currently married or in union women who are not currently using a contraceptive method: Total
747,Number of currently married or in union women who are not currently using a contraceptive method
748,Number of currently married or in union women who are not currently using a contraceptive method (unweighted)
749,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to not being married or in union
750,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other marriage related reasons
751,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to infrequent sex
752,"Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to being menopausal, hysterectomized"
753,"Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to being subfecund, infecund"
754,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to being postpartum amenorrheic/breastfeeding
755,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to wanting more children
756,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other fertility related reasons
757,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to respondent being opposed
758,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to spouse being opposed
759,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to others being opposed
760,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to religious prohibition
761,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other opposition to use
762,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to lack of knowledge
763,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to knowing no method
764,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to knowing no source
765,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other knowledge related
766,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to health concerns
767,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to fear of side effects
768,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to lack of access
769,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to method costing too much
770,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to being inconvenient to use
771,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to method interfering with body
772,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other method related
773,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to other reasons
774,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to unknown reasons
775,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future due to: Missing
776,Percentage of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future: Total
777,Number of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future
778,Number of currently married or in union women who are not using a contraceptive method and who do not intend to use in the future (unweighted)
779,Percentage of women by whether they have received a message about family planning from the radio in the last few months prior to the interview
780,Percentage of women by whether they have received a message about family planning from television in the last few months prior to the interview
781,Percentage of women by whether they have received a message about family planning from a newspaper or magazine in the last few months prior to the interview
782,"Percentage of women by whether they have report receiving no messages about family planning from the radio, television, or a newspaper or magazine in the last few months prior to the interview"
783,Number of women
784,Number of women (unweighted)
785,Percentage of men by whether they have received a message about family planning from the radio in the last few months prior to the interview
786,Percentage of men by whether they have received a message about family planning from television in the last few months prior to the interview
787,Percentage of men by whether they have received a message about family planning from a newspaper or magazine in the last few months prior to the interview
788,"Percentage of men by whether they have report receiving no messages about family planning from the radio, television, or a newspaper or magazine in the last few months prior to the interview"
789,Number of men
790,Number of men (unweighted)
791,Percentage of women who are not using contraception who were visited by a family planning worker and told about family planning methods during the 12 months preceding the interview
792,Percentage of women who are not using contraception who visited a health facility and discussed family during the 12 months preceding the interview
793,Percentage of women who are not using contraception who visited a health facility but did not discuss family during the 12 months preceding the interview
794,Percentage of women who are not using contraception who did not discuss family planning either with a fieldworker or at a health facility during the 12 months preceding the interview
795,Number of women who are not using contraception 
796,Number of women who are not using contraception (unweighted)
797,Percentage of women never married
798,Percentage of women married
799,Percentage of women living together
800,Percentage of women divorced
801,Percentage of women not living together
802,Percentage of women widowed
803,Percentage of women with missing information on marital status
804,Percentage of women: Total
805,Percentage of women married or living in union
806,Number of women
807,Number of women (unweighted)
808,Percentage of men never married
809,Percentage of men married
810,Percentage of men living together
811,Percentage of men divorced
812,Percentage of men not living together
813,Percentage of men widowed
814,Percentage of men with missing information on marital status
815,Percentage of men: Total
816,Percentage of men married or living in union
817,Number of men
818,Number of men (unweighted)
819,Percentage of currently married or in union women whose husband has no other wives
820,Percentage of currently married or in union women whose husband has one other wife
821,Percentage of currently married or in union women whose husband has two or more wives
822,Percentage of currently married or in union women with 'don't know' or missing information on number of co-wives
823,Percentage of currently married or in union women: Total
824,Number of currently married or in union women
825,Number of currently married or in union women (unweighted)
826,Percentage of currently married or in union men who have one wife
827,Percentage of currently married or in union men who have two or more wives
828,Percentage of currently married or in union men with 'don't know' or missing information on number of wives
829,Percentage of currently married or in union men: Total
830,Number of currently married or in union men
831,Number of currently married or in union men (unweighted)
832,Percentage of women who were first married by exact age 15
833,Percentage of women who were first married by exact age 18
834,Percentage of women who were first married by exact age 20
835,Percentage of women who were first married by exact age 22
836,Percentage of women who were first married by exact age 25
837,Percentage of women who were never married
838,Number of women
839,Number of women (unweighted)
840,Percentage of men who were first married by exact age 15
841,Percentage of men who were first married by exact age 18
842,Percentage of men who were first married by exact age 20
843,Percentage of men who were first married by exact age 22
844,Percentage of men who were first married by exact age 25
845,Percentage of men who were first married by exact age 28
846,Percentage of men who were first married by exact age 30
847,Percentage of men who were never married
848,Number of men
849,Number of men (unweighted)
850,Median age at first marriage or union in years among women age 20-24
851,Median age at first marriage or union in years among women age 25-29
852,Median age at first marriage or union in years among women age 30-34
853,Median age at first marriage or union in years among women age 35-39
854,Median age at first marriage or union in years among women age 40-44
855,Median age at first marriage or union in years among women age 45-49
856,Median age at first marriage or union in years among women age 20-49
857,Median age at first marriage or union in years among women age 25-49
858,Median age at first marriage or union in years among men age 20-24
859,Median age at first marriage or union in years among men age 25-29
860,Median age at first marriage or union in years among men age 30-34
861,Median age at first marriage or union in years among men age 35-39
862,Median age at first marriage or union in years among men age 40-44
863,Median age at first marriage or union in years among men age 45-49
864,Median age at first marriage or union in years among men age 50-54
865,Median age at first marriage or union in years among men age 55-59
866,Median age at first marriage or union in years among men age 60-64
867,"Median age at first marriage or union in years among men age 20-49(54,59)"
868,"Median age at first marriage or union in years among men age 25-49(54,59)"
869,Percentage of women who had first sexual intercourse by exact age 15
870,Percentage of women who had first sexual intercourse by exact age 18
871,Percentage of women who had first sexual intercourse by exact age 20
872,Percentage of women who had first sexual intercourse by exact age 22
873,Percentage of women who had first sexual intercourse by exact age 25
874,Percentage of women who never had intercourse
875,Number of women
876,Number of women (unweighted)
877,Percentage of men who had first sexual intercourse by exact age 15
878,Percentage of men who had first sexual intercourse by exact age 18
879,Percentage of men who had first sexual intercourse by exact age 20
880,Percentage of men who had first sexual intercourse by exact age 22
881,Percentage of men who had first sexual intercourse by exact age 25
882,Percentage of men who never had intercourse
883,Number of men
884,Number of men (unweighted)
885,Median age at first sexual intercourse in years among women age 20-24
886,Median age at first sexual intercourse in years among women age 25-29
887,Median age at first sexual intercourse in years among women age 30-34
888,Median age at first sexual intercourse in years among women age 35-39
889,Median age at first sexual intercourse in years among women age 40-44
890,Median age at first sexual intercourse in years among women age 45-49
891,Median age at first sexual intercourse in years among women age 20-49
892,Median age at first sexual intercourse in years among women age 25-49
893,Median age at first sexual intercourse in years among men age 20-24
894,Median age at first sexual intercourse in years among men age 25-29
895,Median age at first sexual intercourse in years among men age 30-34
896,Median age at first sexual intercourse in years among men age 35-39
897,Median age at first sexual intercourse in years among men age 40-44
898,Median age at first sexual intercourse in years among men age 45-49
899,Median age at first sexual intercourse in years among men age 50-54
900,Median age at first sexual intercourse in years among men age 55-59
901,Median age at first sexual intercourse in years among men age 60-64
902,"Median age at first sexual intercourse in years among men age 20-49(54,59)"
903,"Median age at first sexual intercourse in years among men age 25-49(54,59)"
904,Percentage of women who were sexually activity in the four weeks preceding the survey
905,"Percentage of women who were sexually activity in the last year preceding the survey, excluding women who were sexually active in the last 4 weeks"
906,Percentage of women who were sexually activity one or more years preceding the survey
907,"Percentage of women who were sexually active, and had missing information on timing of last sex"
908,Percentage of women who had never had sexual intercourse
909,Percentage of women: Total
910,Number of women
911,Number of women (unweighted)
912,Percentage of men who were sexually active in the four weeks preceding the survey
913,"Percentage of men who were sexually activity in the last year preceding the survey, excluding men who were sexually active in the last 4 weeks"
914,Percentage of men who were sexually activity one or more years preceding the survey
915,"Percentage of men who were sexually active, and had missing information on timing of last sex"
916,Percentage of men who never had sexual intercourse
917,Percentage of men: Total
918,Number of men
919,Number of men (unweighted)
920,"Probability of dying in the first month of life (in the five years preceding the survey) per 1,000 live births"
921,"Standard error of the probability of dying in the first month of life (in the five years preceding the survey) per 1,000 live births"
922,"Relative error of the probability of dying in the first month of life (in the five years preceding the survey) per 1,000 live births"
923,"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate minus 2 standard errors"
924,"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate plus 2 standard errors"
925,"Probability of dying after the first month of life and before the first birthday (in the five years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates"
926,"Standard error of the probability of dying after the first month of life and before the first birthday (in the five years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates"
927,"Relative error of the probability of dying after the first month of life and before the first birthday (in the five years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates"
928,"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate minus 2 standard errors"
929,"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate plus 2 standard errors"
930,"Probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births"
931,"Standard error of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births"
932,"Relative error of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births"
933,"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births calculated as the infant mortality rate minus 2 standard errors"
934,"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five years preceding the survey) per 1,000 live births calculated as the infant mortality rate plus 2 standard errors"
935,"Probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday"
936,"Standard error of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday"
937,"Relative error of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday"
938,"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate minus 2 standard errors"
939,"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate plus 2 standard errors"
940,"Probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births"
941,"Standard error of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births"
942,"Relative error of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births"
943,"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births calculated as the under-five mortality rate minus 2 standard errors"
944,"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five years preceding the survey) per 1,000 live births calculated as the under-five mortality rate plus 2 standard errors"
945,"Probability of dying in the first month of life in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex."
946,"Standard error of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births"
947,"Relative error of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births"
948,"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate minus 2 standard errors"
949,"Lower bound of the confidence interval of the probability of dying in the first month of life (in the five or ten years preceding the survey) per 1,000 live births calculated as the neonatal mortality rate plus 2 standard errors"
950,"Probability of dying after the first month of life and before the first birthday in the five or ten years preceding the survey, per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex."
951,"Standard error of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates"
952,"Relative error of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates"
953,"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate minus 2 standard errors"
954,"Lower bound of the confidence interval of the probability of dying after the first month of life and before the first birthday (in the five or ten years preceding the survey) per 1,000 children surviving the first month of life, computed as the difference between the infant and neonatal mortality rates calculated as the postneonatal mortality rate plus 2 standard errors"
955,"Probability of dying before the first birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex."
956,"Standard error of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births"
957,"Relative error of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births"
958,"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the infant mortality rate minus 2 standard errors"
959,"Lower bound of the confidence interval of the probability of dying before the first birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the infant mortality rate plus 2 standard errors"
960,"Probability of dying between the first birthday and the fifth birthday in the five or ten years preceding the survey), per 1,000 children surviving to their first birthday. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex."
961,"Standard error of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday"
962,"Relative error of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday"
963,"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate minus 2 standard errors"
964,"Lower bound of the confidence interval of the probability of dying between the first birthday and the fifth birthday (in the five or ten years preceding the survey) per 1,000 children surviving to their first birthday calculated as the child mortality rate plus 2 standard errors"
965,"Probability of dying before the fifth birthday in the five or ten years preceding the survey, per 1,000 live births. Estimates are given for ten year periods for all characteristics, but for five year periods only for the national total, by residence, and by sex."
966,"Standard error of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births"
967,"Relative error of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births"
968,"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the under-five mortality rate minus 2 standard errors"
969,"Lower bound of the confidence interval of the probability of dying before the fifth birthday (in the five or ten years preceding the survey) per 1,000 live births calculated as the under-five mortality rate plus 2 standard errors"
970,Number of stillbirths for the five-year period preceding the survey. Stillbirths are fetal deaths in pregnancies of 7 months or more.
971,Number of early neonatal deaths for the five-year period preceding the survey. Early neonatal deaths are deaths at age 0-6 days among live-born children.
972,"Perinatal mortality rate for the five-year period preceding the survey, defined as the sum of the stillbirths and early neonatal deaths divided by the number of pregnancies of 7 or months' duration, expressed per 1,000 pregnancies."
973,Number of pregnancies of 7+ months duration in the five-year period preceding the survey
974,Number of pregnancies of 7+ months duration in the five-year period preceding the survey (unweighted)
975,Percentage of children born in the last five years preceding the survey not in any risk category
976,Percentage of children born in the last five years preceding the survey which are first births
977,Percentage of children born in the last five years preceding the survey to mothers age < 18
978,Percentage of children born in the last five years preceding the survey to mothers age > 34
979,Percentage of children born in the last five years preceding the survey with a birth interval < 24 months
980,Percentage of children born in the last five years preceding the survey with a birth order > 3
981,Percentage of children born in the last five years preceding the survey in a single risk category
982,Percentage of children born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months
983,Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months
984,Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth order > 3
985,Percentage of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 and birth order > 3
986,Percentage of children born in the last five years preceding the survey with a birth interval < 24 and a birth order > 3
987,Percentage of children born in the last five years preceding the survey in multiple risk categories
988,Percentage of children born in the last five years preceding the survey in any risk category
989,Percentage of children born in the last five years preceding the survey to mothers age < 18
990,Percentage of children born in the last five years preceding the survey to mothers age > 34
991,Percentage of children born in the last five years preceding the survey with a birth interval < 24 months
992,Percentage of children born in the last five years preceding the survey with a birth order > 3
993,Percentage of children born in the last five years preceding the survey: Total
994,Number of children born in the last five years preceding the survey
995,Number of children born in the last five years preceding the survey (unweighted)
996,Risk ratio of children born in the last five years preceding the survey not in any high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
997,Risk ratio of children born in the last five years preceding the survey which are first births. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
998,Risk ratio of children born in the last five years preceding the survey to mothers age < 18. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
999,Risk ratio of children born in the last five years preceding the survey to mothers age > 34. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1000,Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1001,Risk ratio of children born in the last five years preceding the survey with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1002,Risk ratio of children born in the last five years preceding the survey in a single high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1003,Risk ratio of children born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1004,Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1005,Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1006,Risk ratio of children born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 and birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1007,Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 and a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1008,Risk ratio of children born in the last five years preceding the survey in multiple high-risk categories. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1009,Risk ratio of children born in the last five years preceding the survey in any high-risk category. Risk ratio is the ratio of the proportion dead among births in a specific high-risk category to the proportion dead among births not in any high-risk category.
1010,Risk ratio of children born in the last five years preceding the survey to mothers age < 18. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.
1011,Risk ratio of children born in the last five years preceding the survey to mothers age > 34. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.
1012,Risk ratio of children born in the last five years preceding the survey with a birth interval < 24 months. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.
1013,Risk ratio of children born in the last five years preceding the survey with a birth order > 3. Risk ratio is the ratio of the proportion dead among births in a specific risk category to the proportion dead among births not in any risk category.
1014,Number of children (unweighted) born in the last five years preceding the survey not in any high-risk category
1015,Number of children (unweighted) born in the last five years preceding the survey which are first births
1016,Number of children (unweighted) born in the last five years preceding the survey to mothers age < 18
1017,Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34
1018,Number of children (unweighted) born in the last five years preceding the survey with a birth interval < 24 months
1019,Number of children (unweighted) born in the last five years preceding the survey with a birth order > 3
1020,Number of children (unweighted) born in the last five years preceding the survey in a single high-risk category
1021,Number of children (unweighted) born in the last five years preceding the survey to mothers age < 18 and with a birth interval < 24 months
1022,Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 months
1023,Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34 and with a birth order > 3
1024,Number of children (unweighted) born in the last five years preceding the survey to mothers age > 34 and with a birth interval < 24 and birth order > 3
1025,Number of children (unweighted) born in the last five years preceding the survey with a birth interval < 24 and a birth order > 3
1026,Number of children (unweighted) born in the last five years preceding the survey in multiple high-risk categories
1027,Number of children (unweighted) born in the last five years preceding the survey in any high-risk category
1028,Number of children (unweighted) born in the last five years preceding the survey in any risk category
1029,Number of children (unweighted) born in the last five years preceding the survey in any risk category
1030,Number of children (unweighted) born in the last five years preceding the survey in any risk category
1031,Number of children (unweighted) born in the last five years preceding the survey in any risk category
1032,Percentage of currently married or in union women not in any risk category
1033,Percentage of currently married or in union women which are first births
1034,Percentage of currently married or in union women to mothers age < 18
1035,Percentage of currently married or in union women to mothers age > 34
1036,Percentage of currently married or in union women with a birth interval < 24 months
1037,Percentage of currently married or in union women with a birth order > 3
1038,Percentage of currently married or in union women in a single risk category
1039,Percentage of currently married or in union women to mothers age < 18 and with a birth interval < 24 months
1040,Percentage of currently married or in union women to mothers age > 34 and with a birth interval < 24 months
1041,Percentage of currently married or in union women to mothers age > 34 and with a birth order > 3
1042,Percentage of currently married or in union women to mothers age > 34 and with a birth interval < 24 and birth order > 3
1043,Percentage of currently married or in union women with a birth interval < 24 and a birth order > 3
1044,Percentage of currently married or in union women in multiple risk categories
1045,Percentage of currently married or in union women in any risk category
1046,Percentage of children born in the last five years preceding the survey to mothers age < 18
1047,Percentage of children born in the last five years preceding the survey to mothers age > 34
